Distance_m,Latitude,Longitude,Altitude_m,Slope_percent
0,-26.8197,27.8286,1487.0,0.0
100,-26.819277253218885,27.828021162099706,1487.0,-2.0
200,-26.81885450643777,27.827442324199406,1485.0,0.0
300,-26.818431759656654,27.82686348629911,1485.0,-5.0
400,-26.81800901287554,27.82628464839881,1480.0,-2.0
500,-26.817586266094423,27.825705810498516,1478.0,-1.0
600,-26.817163519313304,27.82512697259822,1477.0,1.0
700,-26.81674077253219,27.82454813469792,1478.0,-3.0
800,-26.816318025751073,27.823969296797625,1475.0,0.0
900,-26.815895278969958,27.82339045889733,1475.0,-1.0
1000,-26.815472532188842,27.82281162099703,1474.0,-1.0
1100,-26.815049785407727,27.822232783096734,1473.0,0.0
1200,-26.81462703862661,27.821653945196434,1473.0,0.0
1300,-26.814204291845495,27.82107510729614,1473.0,-2.0
1400,-26.81378154506438,27.820496269395843,1471.0,1.0
1500,-26.813358798283264,27.819917431495544,1472.0,-2.0
1600,-26.812936051502145,27.819338593595248,1470.0,0.0
1700,-26.81251330472103,27.818759755694952,1470.0,-2.0
1800,-26.812090557939914,27.818180917794653,1468.0,0.0
1900,-26.8116678111588,27.817602079894357,1468.0,0.0
2000,-26.811245064377683,27.817023241994058,1468.0,-2.0
2100,-26.810822317596568,27.81644440409376,1466.0,0.0
2200,-26.810399570815452,27.815865566193466,1466.0,-2.0
2300,-26.809976824034337,27.815286728293167,1464.0,0.0
2400,-26.80955407725322,27.81470789039287,1464.0,-3.0
2500,-26.809131330472106,27.814129052492575,1461.0,0.0
2600,-26.808708583690986,27.813550214592276,1461.0,-1.0
2700,-26.80828583690987,27.81297137669198,1460.0,-4.0
2800,-26.807863090128755,27.81239253879168,1456.0,0.0
2900,-26.80744034334764,27.811813700891385,1456.0,-3.0
3000,-26.807017596566524,27.81123486299109,1453.0,-3.0
3100,-26.80659484978541,27.81065602509079,1450.0,0.0
3200,-26.806172103004293,27.810077187190494,1450.0,-1.0
3300,-26.805749356223178,27.809498349290195,1449.0,-1.0
3400,-26.805326609442062,27.8089195113899,1448.0,-3.0
3500,-26.804903862660947,27.808340673489603,1445.0,0.0
3600,-26.80448111587983,27.807761835589304,1445.0,2.0
3700,-26.804058369098712,27.807182997689008,1447.0,-1.0
3800,-26.803635622317596,27.806604159788712,1446.0,2.0
3900,-26.80321287553648,27.806025321888413,1448.0,-2.0
4000,-26.802790128755365,27.805446483988117,1446.0,2.0
4100,-26.80236738197425,27.804867646087818,1448.0,0.0
4200,-26.801944635193134,27.804288808187522,1448.0,-2.0
4300,-26.80152188841202,27.803709970287226,1446.0,-2.0
4400,-26.801099141630903,27.803131132386927,1444.0,1.0
4500,-26.800676394849788,27.80255229448663,1445.0,-4.0
4600,-26.800253648068672,27.801973456586335,1441.0,-1.0
4700,-26.799830901287553,27.801394618686036,1440.0,-3.0
4800,-26.799408154506438,27.80081578078574,1437.0,1.0
4900,-26.798985407725322,27.80023694288544,1438.0,-4.0
5000,-26.798562660944206,27.799658104985145,1434.0,0.0
5100,-26.79813991416309,27.79907926708485,1434.0,0.0
5200,-26.797717167381975,27.79850042918455,1434.0,2.0
5300,-26.79729442060086,27.797921591284254,1436.0,-3.0
5400,-26.796871673819744,27.79734275338396,1433.0,3.0
5500,-26.79644892703863,27.79676391548366,1436.0,-3.0
5600,-26.796026180257513,27.796185077583363,1433.0,2.0
5700,-26.795603433476394,27.795606239683064,1435.0,0.0
5800,-26.79518068669528,27.795027401782768,1435.0,0.0
5900,-26.794757939914163,27.794448563882472,1435.0,-3.0
6000,-26.794335193133048,27.793869725982173,1432.0,2.0
6100,-26.793912446351932,27.793290888081877,1434.0,0.0
6200,-26.793489699570816,27.792712050181578,1434.0,1.0
6300,-26.7930669527897,27.792133212281282,1435.0,-1.0
6400,-26.792644206008585,27.791554374380986,1434.0,1.0
6500,-26.79222145922747,27.790975536480687,1435.0,0.0
6600,-26.791798712446354,27.79039669858039,1435.0,-1.0
6700,-26.791375965665235,27.789817860680095,1434.0,0.0
6800,-26.79095321888412,27.789239022779796,1434.0,1.0
6900,-26.790530472103004,27.7886601848795,1435.0,0.0
7000,-26.79010772532189,27.7880813469792,1435.0,4.0
7100,-26.789684978540773,27.787502509078905,1439.0,-1.0
7200,-26.789262231759658,27.78692367117861,1438.0,0.0
7300,-26.788839484978542,27.78634483327831,1438.0,0.0
7400,-26.788416738197427,27.785765995378014,1438.0,1.0
7500,-26.78799399141631,27.78518715747772,1439.0,0.0
7600,-26.787571244635195,27.78460831957742,1439.0,1.0
7700,-26.78714849785408,27.784029481677123,1440.0,0.0
7800,-26.78672575107296,27.783450643776824,1440.0,2.0
7900,-26.786303004291845,27.78287180587653,1442.0,-1.0
8000,-26.78588025751073,27.782292967976232,1441.0,3.0
8100,-26.785457510729614,27.781714130075933,1444.0,1.0
8200,-26.7850347639485,27.781135292175637,1445.0,1.0
8300,-26.784612017167383,27.78055645427534,1446.0,0.0
8400,-26.784189270386268,27.779977616375042,1446.0,-2.0
8500,-26.783766523605152,27.779398778474746,1444.0,0.0
8600,-26.783343776824037,27.778819940574447,1444.0,-1.0
8700,-26.78292103004292,27.77824110267415,1443.0,1.0
8800,-26.782498283261802,27.777662264773856,1444.0,-1.0
8900,-26.782075536480686,27.777083426873556,1443.0,-1.0
9000,-26.78165278969957,27.77650458897326,1442.0,0.0
9100,-26.781230042918455,27.77592575107296,1442.0,1.0
9200,-26.78080729613734,27.775346913172665,1443.0,4.0
9300,-26.780384549356224,27.77476807527237,1447.0,-1.0
9400,-26.77996180257511,27.77418923737207,1446.0,-6.0
9500,-26.779539055793993,27.773610399471774,1440.0,2.0
9600,-26.779116309012878,27.77303156157148,1442.0,-4.0
9700,-26.778693562231762,27.77245272367118,1438.0,1.0
9800,-26.778270815450643,27.771873885770884,1439.0,-5.0
9900,-26.777848068669527,27.771295047870584,1434.0,-9.0
10000,-26.777425321888412,27.77071620997029,1425.0,0.0
10100,-26.777002575107296,27.770137372069993,1425.0,-7.000000000000001
10200,-26.77657982832618,27.769558534169693,1418.0,0.0
10300,-26.776157081545065,27.768979696269398,1418.0,0.0
10400,-26.77573433476395,27.7684008583691,1418.0,3.0
10500,-26.775311587982834,27.767822020468802,1421.0,3.0
10600,-26.77488884120172,27.767243182568507,1424.0,0.0
10700,-26.774466094420603,27.766664344668207,1424.0,4.0
10800,-26.774043347639488,27.76608550676791,1428.0,3.0
10900,-26.77362060085837,27.765506668867616,1431.0,3.0
11000,-26.773197854077253,27.764927830967316,1434.0,0.0
11100,-26.772775107296138,27.76434899306702,1434.0,3.0
